,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Australia,"Hong Kong, China (SAR)",Japan,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,United Arab Emirates,,,,,,,
1,Brunei Darussalam,Luxembourg,Denmark,Finland,Germany,Ireland,Netherlands,New Zealand,United States,Belgium,Canada,Israel,Andorra,Austria,Iceland,Italy,Kuwait
2,United Kingdom,France,Bahrain,Saudi Arabia,Spain,,,,,,,,,,,,
3,Korea (Republic of),Slovenia,Cyprus,Greece,Oman,,,,,,,,,,,,
4,Czechia,Estonia,Poland,Bahamas,Chile,Cuba,Malta,Portugal,,,,,,,,,
5,Croatia,Hungary,Slovakia,Lithuania,Argentina,Panama,Trinidad and Tobago,Uruguay,Costa Rica,Libya,,,,,,,
6,Mexico,Russian Federation,Barbados,Malaysia,Latvia,Bulgaria,Georgia,Albania,Bosnia and Herzegovina,Dominica,,,,,,,
7,Ecuador,Montenegro,Romania,Sri Lanka,Mauritius,Seychelles,Venezuela (Bolivarian Republic of),Kazakhstan,Palau,Jordan,Tonga,Tunisia,Syrian Arab Republic,Viet Nam,,,
8,Jamaica,Maldives,Saint Lucia,Serbia,Brazil,Gabon,Iran (Islamic Republic of),Turkey,Algeria,Belarus,Suriname,Ukraine,China,,,,
9,Thailand,Armenia,Belize,Colombia,Dominican Republic,Fiji,Grenada,Peru,South Africa,,,,,,,,
10,Iraq,Azerbaijan,Kyrgyzstan,Moldova (Republic of),Saint Vincent and the Grenadines,Samoa,Cabo Verde,Nicaragua,"Palestine, State of",Paraguay,Botswana,,,,,,
11,Equatorial Guinea,Egypt,El Salvador,Indonesia,Mongolia,Morocco,Namibia,Philippines,Bolivia (Plurinational State of),Tajikistan,Uzbekistan,Honduras,,,,,
12,Guatemala,Micronesia (Federated States of),Eswatini (Kingdom of),Guyana,Kiribati,,,,,,,,,,,,
13,Bangladesh,Solomon Islands,Congo,Ghana,India,Kenya,Lesotho,Nigeria,Pakistan,Timor-Leste,Zambia,Madagascar,Sao Tome and Principe,,,,
14,Nepal,Cameroon,Lao People's Democratic Republic,Yemen,Angola,Mauritania,Papua New Guinea,Zimbabwe,Uganda,Cambodia,Myanmar,Togo,,,,,
15,Côte d'Ivoire,Sudan,Haiti,Tanzania (United Republic of),Benin,Comoros,Liberia,,,,,,,,,,
16,Djibouti,Senegal,Gambia,Congo (Democratic Republic of the),Malawi,Afghanistan,Rwanda,Sierra Leone,,,,,,,,,
17,Mali,Burkina Faso,Guinea,Ethiopia,Burundi,Central African Republic,Mozambique,,,,,,,,,,
18,Chad,Niger,,,,,,,,,,,,,,,
