,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Australia,Germany,"Hong Kong, China (SAR)",Japan,Kuwait,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,,,,
1,New Zealand,Brunei Darussalam,Luxembourg,United Arab Emirates,Belgium,Denmark,Finland,Ireland,Netherlands,United States,Canada,Israel,Andorra,Austria,Iceland
2,United Kingdom,Bahrain,Saudi Arabia,France,Italy,,,,,,,,,,
3,Korea (Republic of),Slovenia,Oman,Greece,Cyprus,Spain,,,,,,,,,
4,Czechia,Estonia,Malta,Portugal,,,,,,,,,,,
5,Hungary,Poland,Slovakia,Lithuania,Antigua and Barbuda,Bahamas,Chile,Croatia,Cuba,Trinidad and Tobago,Costa Rica,,,,
6,Russian Federation,Argentina,Georgia,Latvia,Libya,Saint Kitts and Nevis,Lebanon,Panama,Uruguay,Malaysia,Mexico,Seychelles,Dominica,,
7,Barbados,Bulgaria,Montenegro,Romania,Sri Lanka,Kazakhstan,Palau,Ukraine,Equatorial Guinea,Albania,Bosnia and Herzegovina,Turkey,Venezuela (Bolivarian Republic of),Gabon,Iran (Islamic Republic of)
8,Mauritius,Jamaica,Saint Lucia,Serbia,Grenada,Belarus,Ecuador,Syrian Arab Republic,Tunisia,Viet Nam,Algeria,,,,
9,Brazil,Suriname,Thailand,Jordan,Tonga,Botswana,South Africa,China,Maldives,,,,,,
10,Iraq,Armenia,Belize,Colombia,Dominican Republic,Fiji,Peru,Saint Vincent and the Grenadines,,,,,,,
11,Samoa,Azerbaijan,Kyrgyzstan,Moldova (Republic of),Cabo Verde,Morocco,Nicaragua,"Palestine, State of",Paraguay,Egypt,El Salvador,Namibia,,,
12,Indonesia,Mongolia,Philippines,Uzbekistan,Honduras,Guatemala,Micronesia (Federated States of),Vanuatu,Eswatini (Kingdom of),,,,,,
13,Bolivia (Plurinational State of),Guyana,Kiribati,Tajikistan,Bangladesh,,,,,,,,,,
14,Angola,Bhutan,Congo,India,Lesotho,Nigeria,Pakistan,Ghana,Zambia,Madagascar,Solomon Islands,Nepal,,,
15,Cameroon,Lao People's Democratic Republic,Sao Tome and Principe,Mauritania,Myanmar,Papua New Guinea,Yemen,Kenya,Zimbabwe,,,,,,
16,Côte d'Ivoire,Cambodia,Tanzania (United Republic of),Timor-Leste,Sudan,Senegal,Liberia,Togo,Uganda,,,,,,
17,Benin,Comoros,Eritrea,Haiti,Djibouti,,,,,,,,,,
18,Afghanistan,Congo (Democratic Republic of the),Gambia,Guinea-Bissau,Malawi,Rwanda,Sierra Leone,Mali,,,,,,,
19,Ethiopia,Guinea,Burkina Faso,Burundi,Central African Republic,Mozambique,Chad,,,,,,,,
20,Niger,,,,,,,,,,,,,,
