,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,Germany,"Hong Kong, China (SAR)",Japan,Liechtenstein,Luxembourg,Norway,Qatar,Singapore,Sweden,Switzerland,,,,,
1,New Zealand,Brunei Darussalam,United Arab Emirates,Belgium,Denmark,Ireland,Netherlands,United Kingdom,United States,Kuwait,Canada,Israel,Andorra,Austria,Iceland,Italy
2,Finland,France,Saudi Arabia,Bahrain,Spain,,,,,,,,,,,
3,Korea (Republic of),Slovenia,Cyprus,Greece,Oman,,,,,,,,,,,
4,Cuba,Czechia,Estonia,Lithuania,Malta,Portugal,Trinidad and Tobago,,,,,,,,,
5,Croatia,Hungary,Poland,Slovakia,Latvia,Antigua and Barbuda,Bahamas,Chile,Costa Rica,Libya,Equatorial Guinea,,,,,
6,Mexico,Russian Federation,Argentina,Georgia,Kazakhstan,Palau,Ukraine,Iran (Islamic Republic of),Malaysia,Saint Kitts and Nevis,Seychelles,Lebanon,Panama,Uruguay,,
7,Barbados,Bulgaria,Montenegro,Romania,Sri Lanka,Belarus,Turkey,Venezuela (Bolivarian Republic of),Dominica,Albania,Bosnia and Herzegovina,Maldives,,,,
8,Saint Lucia,Serbia,Mauritius,Botswana,Gabon,Jamaica,Ecuador,Tunisia,,,,,,,,
9,Algeria,Grenada,Jordan,South Africa,Tonga,Brazil,Suriname,Thailand,China,Syrian Arab Republic,Viet Nam,,,,,
10,Saint Vincent and the Grenadines,Armenia,Azerbaijan,Belize,Dominican Republic,Fiji,Peru,Iraq,Colombia,,,,,,,
11,Samoa,Kyrgyzstan,Moldova (Republic of),Mongolia,"Palestine, State of",Philippines,Cabo Verde,Egypt,El Salvador,Indonesia,Morocco,Nicaragua,Paraguay,,,
12,Tajikistan,Uzbekistan,Bolivia (Plurinational State of),Namibia,Guatemala,Guyana,Honduras,Micronesia (Federated States of),Vanuatu,,,,,,,
13,Kiribati,Eswatini (Kingdom of),Angola,Bhutan,Nigeria,Pakistan,India,Lesotho,Timor-Leste,Bangladesh,Ghana,Solomon Islands,,,,
14,Kenya,Madagascar,Zambia,Yemen,Cameroon,Lao People's Democratic Republic,Mauritania,Sao Tome and Principe,Myanmar,Nepal,Congo,,,,,
15,Zimbabwe,Sudan,Cambodia,Tanzania (United Republic of),Papua New Guinea,Côte d'Ivoire,Togo,Uganda,,,,,,,,
16,Djibouti,Comoros,Haiti,Liberia,Benin,Senegal,,,,,,,,,,
17,Afghanistan,Congo (Democratic Republic of the),Eritrea,Gambia,Malawi,Rwanda,Mali,,,,,,,,,
18,Burkina Faso,Ethiopia,Guinea,Guinea-Bissau,Mozambique,Sierra Leone,Chad,,,,,,,,,
19,Niger,Burundi,Central African Republic,,,,,,,,,,,,,
