,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Australia,Germany,"Hong Kong, China (SAR)",Japan,Liechtenstein,Norway,Qatar,Singapore,Switzerland,,,,,
1,Ireland,New Zealand,Brunei Darussalam,Belgium,Denmark,United Kingdom,United States,Luxembourg,Canada,Iceland,Israel,Italy,Netherlands,Sweden
2,Kuwait,Finland,United Arab Emirates,Spain,Korea (Republic of),Andorra,Austria,France,,,,,,
3,Slovenia,Saudi Arabia,Oman,Bahrain,Cyprus,Greece,,,,,,,,
4,Cuba,Czechia,Estonia,Libya,Trinidad and Tobago,Malta,Portugal,,,,,,,
5,Poland,Slovakia,Hungary,Latvia,Lithuania,Chile,Croatia,Costa Rica,,,,,,
6,Argentina,Bahamas,Montenegro,Russian Federation,Belarus,Palau,Albania,Lebanon,Panama,Antigua and Barbuda,Uruguay,,,
7,Barbados,Kazakhstan,Romania,Malaysia,Saint Kitts and Nevis,Sri Lanka,Equatorial Guinea,Ukraine,Dominica,Mexico,,,,
8,Ecuador,Jamaica,Saint Lucia,Bulgaria,Georgia,Serbia,Iran (Islamic Republic of),Seychelles,Turkey,Venezuela (Bolivarian Republic of),Algeria,Bosnia and Herzegovina,Maldives,Tunisia
9,Armenia,Fiji,Tonga,Grenada,South Africa,Brazil,Peru,Thailand,Azerbaijan,Jordan,Mauritius,China,,
10,Mongolia,Belize,Kyrgyzstan,Moldova (Republic of),Samoa,Botswana,Colombia,Dominican Republic,Saint Vincent and the Grenadines,Suriname,Morocco,Viet Nam,,
11,"Palestine, State of",Uzbekistan,Bolivia (Plurinational State of),Egypt,El Salvador,Paraguay,Philippines,Turkmenistan,Gabon,Indonesia,Iraq,Nicaragua,,
12,Tajikistan,Guatemala,Micronesia (Federated States of),Syrian Arab Republic,Guyana,Namibia,Timor-Leste,Honduras,,,,,,
13,Kiribati,Bhutan,Cabo Verde,Vanuatu,Congo,Ghana,Zambia,Eswatini (Kingdom of),,,,,,
14,Angola,India,Pakistan,Bangladesh,Kenya,Madagascar,Solomon Islands,Zimbabwe,Lesotho,Nigeria,,,,
15,Cambodia,Cameroon,Lao People's Democratic Republic,Myanmar,Papua New Guinea,Sao Tome and Principe,Yemen,Nepal,Uganda,,,,,
16,Mauritania,Sudan,Comoros,Côte d'Ivoire,Haiti,Rwanda,Senegal,Tanzania (United Republic of),Togo,Afghanistan,,,,
17,Djibouti,Eritrea,Benin,Liberia,Congo (Democratic Republic of the),Malawi,Gambia,,,,,,,
18,South Sudan,Ethiopia,Guinea-Bissau,Mali,Sierra Leone,Burundi,Mozambique,Burkina Faso,Guinea,,,,,
19,Chad,Central African Republic,Niger,,,,,,,,,,,
