,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Australia,Denmark,Germany,"Hong Kong, China (SAR)",Iceland,Ireland,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,,,,,,,
1,Japan,Finland,New Zealand,Netherlands,United States,Brunei Darussalam,Luxembourg,United Arab Emirates,Belgium,Canada,Israel,Korea (Republic of),,,,,,,
2,France,Italy,Spain,Austria,Kuwait,Andorra,Saudi Arabia,United Kingdom,Greece,Malta,,,,,,,,,
3,Bahrain,Lithuania,Oman,Slovenia,Cyprus,Portugal,,,,,,,,,,,,,
4,Czechia,Chile,Costa Rica,,,,,,,,,,,,,,,,
5,Estonia,Slovakia,Barbados,Cuba,,,,,,,,,,,,,,,
6,Latvia,Poland,Bahamas,Trinidad and Tobago,Lebanon,Maldives,,,,,,,,,,,,,
7,Albania,Argentina,Belarus,Croatia,Georgia,Hungary,Kazakhstan,Malaysia,Palau,Russian Federation,Turkey,,,,,,,,
8,Montenegro,Panama,Uruguay,Bulgaria,Iran (Islamic Republic of),Romania,Seychelles,Saint Kitts and Nevis,Antigua and Barbuda,,,,,,,,,,
9,Serbia,Sri Lanka,Dominica,Algeria,Bosnia and Herzegovina,Colombia,Ukraine,Mauritius,Mexico,Thailand,,,,,,,,,
10,Armenia,Brazil,Fiji,Grenada,Ecuador,Peru,Tonga,Azerbaijan,Equatorial Guinea,Botswana,Turkmenistan,China,Dominican Republic,,,,,,
11,Marshall Islands,Kyrgyzstan,Moldova (Republic of),Mongolia,South Africa,Uzbekistan,Belize,Jamaica,Samoa,Venezuela (Bolivarian Republic of),Jordan,Saint Lucia,Philippines,Saint Vincent and the Grenadines,Suriname,Gabon,Iraq,Paraguay,Tunisia
12,Bolivia (Plurinational State of),"Palestine, State of",Indonesia,Libya,El Salvador,Morocco,Viet Nam,,,,,,,,,,,,
13,Tajikistan,Guyana,Egypt,Cabo Verde,Guatemala,Honduras,Nicaragua,,,,,,,,,,,,
14,Bhutan,India,Kiribati,Namibia,Timor-Leste,Bangladesh,Ghana,Sao Tome and Principe,Solomon Islands,Vanuatu,,,,,,,,,
15,Congo,Lao People's Democratic Republic,Micronesia (Federated States of),Eswatini (Kingdom of),Cambodia,Nepal,Syrian Arab Republic,,,,,,,,,,,,
16,Angola,Myanmar,Pakistan,Kenya,Madagascar,Zambia,Zimbabwe,Nigeria,Senegal,Rwanda,,,,,,,,,
17,Côte d'Ivoire,Papua New Guinea,Djibouti,Mauritania,Sudan,Comoros,Tanzania (United Republic of),Cameroon,Uganda,Yemen,,,,,,,,,
18,Ethiopia,Haiti,Malawi,Afghanistan,Benin,Guinea,Lesotho,Congo (Democratic Republic of the),Togo,,,,,,,,,,
19,Eritrea,Liberia,Gambia,Mali,Guinea-Bissau,Sierra Leone,,,,,,,,,,,,,
20,Burkina Faso,Niger,Burundi,Mozambique,Chad,South Sudan,,,,,,,,,,,,,
21,Central African Republic,,,,,,,,,,,,,,,,,,
