COUNTRY,2000_rank,2001_rank,,,Spearman's rank correlation,,
Albania,85,85,,,,2001,2000
Algeria,86,86,,,2001,,0.9995
Andorra,34,34,,,2000,,
Angola,150,148,,,*p-value< 0.00001,,
Argentina,45,45,,,,,
Armenia,99,98,,,,,
Australia,3,3,,,,,
Austria,24,23,,,,,
Azerbaijan,97,96,,,,,
Bahamas,40,39,,,,,
Bahrain,30,31,,,, ,
Bangladesh,135,133,,,,,
Barbados,49,50,,,,,
Belarus,74,73,,,,,
Belgium,12,13,,,,,
Belize,79,82,,,,,
Benin,153,152,,,,,
Bolivia (Plurinational State of),108,108,,,,,
Bosnia and Herzegovina,76,76,,,,,
Botswana,105,105,,,,,
Brazil,71,72,,,,,
Brunei Darussalam,11,14,,,,,
Bulgaria,63,62,,,,,
Burkina Faso,163,163,,,,,
Burundi,166,167,,,,,
Cabo Verde,119,118,,,,,
Cambodia,149,149,,,,,
Cameroon,142,139,,,,,
Canada,15,15,,,,,
Central African Republic,167,166,,,,,
Chad,165,164,,,,,
Chile,47,47,,,,,
China,109,109,,,,,
Colombia,88,89,,,,,
Congo,127,126,,,,,
Congo (Democratic Republic of the),164,165,,,,,
Costa Rica,61,63,,,,,
Côte d'Ivoire,148,150,,,,,
Croatia,48,48,,,,,
Cuba,84,83,,,,,
Cyprus,32,32,,,,,
Czechia,36,36,,,,,
Denmark,14,10,,,,,
Djibouti,154,153,,,,,
Dominica,70,69,,,,,
Dominican Republic,89,91,,,,,
Ecuador,83,84,,,,,
Egypt,98,99,,,,,
El Salvador,102,102,,,,,
Equatorial Guinea,118,111,,,,,
Estonia,42,41,,,,,
Eswatini (Kingdom of),126,127,,,,,
Ethiopia,168,168,,,,,
Fiji,75,75,,,,,
Finland,21,21,,,,,
France,22,22,,,,,
Gabon,78,79,,,,,
Gambia,156,156,,,,,
Georgia,95,93,,,,,
Germany,13,12,,,,,
Ghana,130,131,,,,,
Greece,35,35,,,,,
Guatemala,111,114,,,,,
Guinea,160,159,,,,,
Guyana,106,106,,,,,
Haiti,143,144,,,,,
Honduras,120,121,,,,,
"Hong Kong, China (SAR)",28,27,,,,,
Hungary,44,43,,,,,
Iceland,20,19,,,,,
India,128,128,,,,,
Indonesia,104,104,,,,,
Iran (Islamic Republic of),68,68,,,,,
Iraq,93,94,,,,,
Ireland,19,18,,,,,
Israel,26,25,,,,,
Italy,27,26,,,,,
Jamaica,82,80,,,,,
Japan,17,20,,,,,
Jordan,67,67,,,,,
Kazakhstan,69,65,,,,,
Kenya,138,138,,,,,
Kiribati,123,123,,,,,
Korea (Republic of),33,33,,,,,
Kuwait,25,28,,,,,
Kyrgyzstan,116,115,,,,,
Lao People's Democratic Republic,134,132,,,,,
Latvia,58,52,,,,,
Lesotho,133,135,,,,,
Liberia,159,161,,,,,
Libya,55,55,,,,,
Liechtenstein,1,2,,,,,
Lithuania,50,49,,,,,
Luxembourg,8,7,,,,,
Madagascar,140,140,,,,,
Malawi,157,157,,,,,
Malaysia,54,58,,,,,
Maldives,103,103,,,,,
Mali,161,160,,,,,
Malta,37,37,,,,,
Mauritania,136,137,,,,,
Mauritius,72,70,,,,,
Mexico,59,59,,,,,
Micronesia (Federated States of),122,122,,,,,
Moldova (Republic of),112,112,,,,,
Mongolia,110,110,,,,,
Morocco,121,120,,,,,
Mozambique,169,169,,,,,
Myanmar,147,146,,,,,
Namibia,114,117,,,,,
Nepal,145,145,,,,,
Netherlands,9,9,,,,,
New Zealand,18,17,,,,,
Nicaragua,117,119,,,,,
Niger,170,171,,,,,
Norway,2,1,,,,,
Oman,43,44,,,,,
Pakistan,129,129,,,,,
Palau,51,51,,,,,
Panama,60,60,,,,,
Papua New Guinea,132,134,,,,,
Paraguay,100,100,,,,,
Peru,81,78,,,,,
Philippines,101,101,,,,,
Poland,41,42,,,,,
Portugal,39,38,,,,,
Qatar,7,8,,,,,
Romania,62,61,,,,,
Russian Federation,57,56,,,,,
Rwanda,162,162,,,,,
Saint Lucia,66,71,,,,,
Saint Vincent and the Grenadines,80,81,,,,,
Samoa,96,95,,,,,
Sao Tome and Principe,131,130,,,,,
Saudi Arabia,38,40,,,,,
Senegal,151,151,,,,,
Serbia,64,64,,,,,
Seychelles,53,57,,,,,
Sierra Leone,171,170,,,,,
Singapore,23,24,,,,,
Slovakia,46,46,,,,,
Slovenia,31,30,,,,,
Solomon Islands,139,142,,,,,
South Africa,94,97,,,,,
Spain,29,29,,,,,
Sri Lanka,77,77,,,,,
Sudan,146,147,,,,,
Sweden,5,5,,,,,
Switzerland,4,4,,,,,
Syrian Arab Republic,107,107,,,,,
Tajikistan,125,124,,,,,
Tanzania (United Republic of),155,155,,,,,
Thailand,87,88,,,,,
Timor-Leste,124,125,,,,,
Togo,152,154,,,,,
Tonga,90,90,,,,,
Trinidad and Tobago,56,54,,,,,
Tunisia,92,92,,,,,
Turkey,73,74,,,,,
Uganda,158,158,,,,,
Ukraine,91,87,,,,,
United Arab Emirates,10,11,,,,,
United Kingdom,16,16,,,,,
United States,6,6,,,,,
Uruguay,52,53,,,,,
Uzbekistan,113,113,,,,,
Venezuela (Bolivarian Republic of),65,66,,,,,
Viet Nam,115,116,,,,,
Yemen,137,136,,,,,
Zambia,144,143,,,,,
Zimbabwe,141,141,,,,,
