Country,2004_rank,2003_rank
Afghanistan,161,161
Albania,83,80
Algeria,81,81
Andorra,28,28
Angola,149,149
Argentina,50,50
Armenia,95,96
Australia,3,3
Austria,25,26
Azerbaijan,97,97
Bahamas,43,42
Bahrain,36,35
Bangladesh,133,132
Barbados,52,51
Belarus,69,75
Belgium,15,12
Belize,87,87
Benin,155,154
Bolivia (Plurinational State of),113,111
Bosnia and Herzegovina,80,78
Botswana,111,114
Brazil,77,76
Brunei Darussalam,20,17
Bulgaria,61,60
Burkina Faso,168,166
Burundi,173,168
Cabo Verde,117,116
Cambodia,144,146
Cameroon,143,142
Canada,14,13
Central African Republic,174,174
Chad,169,171
Chile,49,48
China,105,104
Colombia,93,94
Congo,130,130
Congo (Democratic Republic of the),167,167
Costa Rica,66,64
Côte d'Ivoire,157,157
Croatia,48,47
Cuba,76,79
Cyprus,34,32
Czechia,35,36
Denmark,6,7
Djibouti,154,153
Dominica,75,70
Dominican Republic,94,93
Ecuador,88,85
Egypt,104,101
El Salvador,102,100
Equatorial Guinea,125,121
Estonia,38,39
Eswatini (Kingdom of),134,137
Ethiopia,171,172
Fiji,82,86
Finland,12,21
France,24,23
Gabon,96,95
Gambia,159,159
Georgia,90,90
Germany,10,10
Ghana,135,135
Greece,33,34
Grenada,72,69
Guatemala,119,117
Guinea,164,164
Guyana,112,113
Haiti,151,151
Honduras,122,122
"Hong Kong, China (SAR)",23,24
Hungary,42,43
Iceland,19,14
India,127,128
Indonesia,108,105
Iran (Islamic Republic of),70,68
Iraq,99,108
Ireland,13,15
Israel,26,25
Italy,27,27
Jamaica,86,89
Japan,21,20
Jordan,67,67
Kazakhstan,60,65
Kenya,140,141
Kiribati,126,126
Korea (Republic of),31,33
Kuwait,30,29
Kyrgyzstan,116,118
Lao People's Democratic Republic,131,133
Latvia,47,49
Lesotho,145,144
Liberia,166,170
Libya,55,54
Liechtenstein,2,2
Lithuania,44,45
Luxembourg,8,9
Madagascar,147,145
Malawi,165,165
Malaysia,57,55
Maldives,100,99
Mali,163,162
Malta,37,37
Mauritania,138,138
Mauritius,71,71
Mexico,62,62
Micronesia (Federated States of),123,123
Moldova (Republic of),110,110
Mongolia,106,109
Montenegro,59,58
Morocco,120,120
Mozambique,170,169
Myanmar,141,140
Namibia,121,124
Nepal,148,143
Netherlands,11,11
New Zealand,17,19
Nicaragua,118,119
Niger,175,175
Nigeria,139,150
Norway,1,1
Oman,45,44
Pakistan,128,129
Palau,53,53
Panama,63,63
Papua New Guinea,136,134
Paraguay,103,102
Peru,89,88
Philippines,101,103
Poland,41,41
Portugal,39,38
Qatar,9,8
Romania,56,59
Russian Federation,54,56
Rwanda,162,163
Saint Lucia,74,73
Saint Vincent and the Grenadines,85,82
Samoa,98,98
Sao Tome and Principe,132,131
Saudi Arabia,40,40
Senegal,152,152
Serbia,65,66
Seychelles,64,61
Sierra Leone,172,173
Singapore,22,22
Slovakia,46,46
Slovenia,29,30
Solomon Islands,142,139
South Africa,107,106
Spain,32,31
Sri Lanka,78,77
Sudan,150,148
Sweden,7,5
Switzerland,4,4
Syrian Arab Republic,109,107
Tajikistan,124,125
Tanzania (United Republic of),153,155
Thailand,84,83
Timor-Leste,129,127
Togo,158,158
Tonga,92,91
Trinidad and Tobago,51,52
Tunisia,91,92
Turkey,73,74
Uganda,160,160
Ukraine,79,84
United Arab Emirates,18,16
United Kingdom,16,18
United States,5,6
Uruguay,58,57
Uzbekistan,115,115
Venezuela (Bolivarian Republic of),68,72
Viet Nam,114,112
Yemen,137,136
Zambia,146,147
Zimbabwe,156,156
