Country,2005_rank,2004_rank
Afghanistan,164,164
Albania,83,81
Algeria,76,82
Andorra,27,28
Angola,140,151
Argentina,51,50
Armenia,98,95
Australia,6,3
Austria,26,26
Azerbaijan,96,97
Bahamas,44,43
Bahrain,35,36
Bangladesh,137,133
Barbados,54,52
Belarus,69,69
Belgium,17,15
Belize,93,87
Benin,159,157
Bolivia (Plurinational State of),115,116
Bosnia and Herzegovina,81,79
Botswana,106,117
Brazil,74,78
Brunei Darussalam,10,20
Bulgaria,61,60
Burkina Faso,169,171
Burundi,176,175
Cabo Verde,120,119
Cambodia,147,145
Cameroon,144,146
Canada,18,14
Central African Republic,177,177
Chad,168,172
Chile,50,49
China,108,106
Colombia,89,94
Comoros,158,155
Congo,134,132
Congo (Democratic Republic of the),173,170
Costa Rica,67,66
Côte d'Ivoire,156,160
Croatia,48,48
Cuba,86,73
Cyprus,34,34
Czechia,36,35
Denmark,9,6
Djibouti,157,158
Dominica,82,74
Dominican Republic,95,96
Ecuador,87,88
Egypt,103,107
El Salvador,104,105
Equatorial Guinea,97,127
Estonia,39,38
Eswatini (Kingdom of),129,137
Ethiopia,174,174
Fiji,91,83
Finland,16,12
France,25,24
Gabon,80,98
Gambia,161,162
Georgia,94,90
Germany,13,9
Ghana,133,136
Greece,32,33
Grenada,71,72
Guatemala,118,121
Guinea,167,167
Guyana,116,115
Haiti,155,153
Honduras,125,123
"Hong Kong, China (SAR)",22,22
Hungary,42,42
Iceland,21,18
India,131,129
Indonesia,111,109
Iran (Islamic Republic of),68,70
Iraq,99,100
Ireland,15,13
Israel,29,25
Italy,28,27
Jamaica,88,85
Japan,24,21
Jordan,73,67
Kazakhstan,56,61
Kenya,142,143
Kiribati,127,128
Korea (Republic of),33,31
Kuwait,20,30
Kyrgyzstan,124,118
Lao People's Democratic Republic,132,135
Latvia,47,47
Lesotho,146,150
Liberia,172,169
Libya,53,55
Liechtenstein,1,2
Lithuania,43,44
Luxembourg,4,8
Madagascar,152,148
Malawi,170,168
Malaysia,58,59
Maldives,105,101
Mali,165,166
Malta,38,37
Mauritania,139,140
Mauritius,72,71
Mexico,63,62
Micronesia (Federated States of),126,124
Moldova (Republic of),114,112
Mongolia,107,108
Montenegro,62,58
Morocco,119,122
Mozambique,175,173
Myanmar,143,142
Namibia,122,126
Nepal,151,147
Netherlands,14,11
New Zealand,23,17
Nicaragua,123,120
Niger,178,178
Nigeria,138,144
Norway,2,1
Oman,41,46
Pakistan,130,130
Palau,55,53
"Palestine, State of",110,103
Panama,64,63
Papua New Guinea,141,138
Paraguay,112,104
Peru,90,89
Philippines,109,102
Poland,45,41
Portugal,40,39
Qatar,5,10
Romania,57,57
Russian Federation,52,54
Rwanda,166,165
Saint Lucia,75,76
Saint Vincent and the Grenadines,84,86
Samoa,102,99
Sao Tome and Principe,136,134
Saudi Arabia,37,40
Senegal,154,154
Serbia,65,64
Seychelles,59,65
Sierra Leone,171,176
Singapore,12,23
Slovakia,46,45
Slovenia,30,29
Solomon Islands,149,141
South Africa,101,111
Spain,31,32
Sri Lanka,85,77
Sudan,150,152
Suriname,79,91
Sweden,11,7
Switzerland,3,4
Syrian Arab Republic,113,110
Tajikistan,128,125
Tanzania (United Republic of),153,156
Thailand,77,84
Timor-Leste,148,131
Togo,163,161
Tonga,100,93
Trinidad and Tobago,49,51
Tunisia,92,92
Turkey,70,75
Uganda,162,163
Ukraine,78,80
United Arab Emirates,8,19
United Kingdom,19,16
United States,7,5
Uruguay,60,56
Uzbekistan,117,114
Venezuela (Bolivarian Republic of),66,68
Viet Nam,121,113
Yemen,135,139
Zambia,145,149
Zimbabwe,160,159
