COUNTRY,2017_rank,2018_rank,,,,
Afghanistan,166,169,,Spearman's rank correlation,,
Albania,70,70,,,2018,2017
Algeria,82,80,,2018,,0.9973*
Andorra,33,32,,2017,,
Angola,147,151,,*p-value< 0.00001,,
Antigua and Barbuda,67,69,,,,
Argentina,49,49,,,,
Armenia,87,85,,,,
Australia,1,1,,,,
Austria,22,20,,,,
Azerbaijan,83,84,,,,
Bahamas,50,58,,,,
Bahrain,40,42,,,,
Bangladesh,135,133,,,,
Barbados,62,52,,,,
Belarus,59,59,,,,
Belgium,14,14,,,,
Belize,111,102,,,,
Benin,168,167,,,,
Bhutan,133,131,,,,
Bolivia (Plurinational State of),118,116,,,,
Bosnia and Herzegovina,75,74,,,,
Botswana,101,95,,,,
Brazil,81,82,,,,
Brunei Darussalam,32,36,,,,
Bulgaria,55,56,,,,
Burkina Faso,181,182,,,,
Burundi,185,185,,,,
Cabo Verde,125,125,,,,
Cambodia,144,143,,,,
Cameroon,154,155,,,,
Canada,13,16,,,,
Central African Republic,188,188,,,,
Chad,183,186,,,,
Chile,43,44,,,,
China,79,78,,,,
Colombia,89,79,,,,
Comoros,167,161,,,,
Congo,138,140,,,,
Congo (Democratic Republic of the),177,178,,,,
Costa Rica,63,65,,,,
Côte d'Ivoire,169,165,,,,
Croatia,48,48,,,,
Cuba,73,73,,,,
Cyprus,34,33,,,,
Czechia,30,31,,,,
Denmark,9,11,,,,
Djibouti,163,160,,,,
Dominica,98,92,,,,
Dominican Republic,90,89,,,,
Ecuador,85,83,,,,
Egypt,112,110,,,,
El Salvador,121,121,,,,
Equatorial Guinea,134,135,,,,
Eritrea,172,174,,,,
Estonia,36,34,,,,
Eswatini (Kingdom of),141,139,,,,
Ethiopia,171,171,,,,
Fiji,97,107,,,,
Finland,19,13,,,,
France,23,25,,,,
Gabon,106,112,,,,
Gambia,176,177,,,,
Georgia,77,76,,,,
Germany,10,10,,,,
Ghana,143,144,,,,
Greece,35,35,,,,
Grenada,78,86,,,,
Guatemala,122,123,,,,
Guinea,174,175,,,,
Guinea-Bissau,178,179,,,,
Guyana,126,122,,,,
Haiti,165,166,,,,
Honduras,130,129,,,,
"Hong Kong, China (SAR)",8,5,,,,
Hungary,46,46,,,,
Iceland,7,8,,,,
India,129,127,,,,
Indonesia,114,105,,,,
Iran (Islamic Republic of),60,67,,,,
Iraq,107,108,,,,
Ireland,5,6,,,,
Israel,25,24,,,,
Italy,28,29,,,,
Jamaica,94,100,,,,
Japan,20,17,,,,
Jordan,95,99,,,,
Kazakhstan,64,55,,,,
Kenya,142,148,,,,
Kiribati,139,134,,,,
Korea (Republic of),24,23,,,,
Kuwait,45,47,,,,
Kyrgyzstan,124,124,,,,
Lao People's Democratic Republic,137,136,,,,
Latvia,44,43,,,,
Lebanon,74,87,,,,
Lesotho,162,168,,,,
Liberia,180,176,,,,
Libya,105,104,,,,
Liechtenstein,6,7,,,,
Lithuania,41,38,,,,
Luxembourg,16,15,,,,
Madagascar,161,163,,,,
Malawi,173,172,,,,
Malaysia,54,53,,,,
Maldives,92,90,,,,
Mali,179,180,,,,
Malta,31,28,,,,
Marshall Islands,109,117,,,,
Mauritania,156,154,,,,
Mauritius,65,66,,,,
Mexico,71,75,,,,
Micronesia (Federated States of),132,137,,,,
Moldova (Republic of),117,109,,,,
Mongolia,96,97,,,,
Montenegro,52,54,,,,
Morocco,120,119,,,,
Mozambique,182,181,,,,
Myanmar,140,142,,,,
Namibia,127,130,,,,
Nepal,149,146,,,,
Netherlands,12,12,,,,
New Zealand,18,18,,,,
Nicaragua,123,126,,,,
Niger,187,187,,,,
Nigeria,157,162,,,,
Norway,2,2,,,,
Oman,47,45,,,,
Pakistan,145,145,,,,
Palau,68,63,,,,
"Palestine, State of",119,120,,,,
Panama,58,61,,,,
Papua New Guinea,152,153,,,,
Paraguay,108,94,,,,
Peru,86,81,,,,
Philippines,115,106,,,,
Poland,37,37,,,,
Portugal,42,40,,,,
Qatar,21,22,,,,
Romania,51,50,,,,
Russian Federation,53,51,,,,
Rwanda,159,156,,,,
Saint Kitts and Nevis,69,71,,,,
Saint Lucia,88,88,,,,
Saint Vincent and the Grenadines,99,96,,,,
Samoa,104,113,,,,
Sao Tome and Principe,146,138,,,,
Saudi Arabia,38,39,,,,
Senegal,160,157,,,,
Serbia,72,68,,,,
Seychelles,57,64,,,,
Sierra Leone,184,184,,,,
Singapore,3,3,,,,
Slovakia,39,41,,,,
Slovenia,26,26,,,,
Solomon Islands,151,149,,,,
South Africa,116,118,,,,
South Sudan,186,183,,,,
Spain,27,27,,,,
Sri Lanka,76,72,,,,
Sudan,155,159,,,,
Suriname,100,98,,,,
Sweden,11,9,,,,
Switzerland,4,4,,,,
Syrian Arab Republic,150,150,,,,
Tajikistan,128,128,,,,
Tanzania (United Republic of),153,158,,,,
Thailand,80,77,,,,
Timor-Leste,131,132,,,,
Togo,170,170,,,,
Tonga,102,111,,,,
Trinidad and Tobago,66,62,,,,
Tunisia,93,91,,,,
Turkey,61,57,,,,
Turkmenistan,103,103,,,,
Uganda,164,164,,,,
Ukraine,91,93,,,,
United Arab Emirates,29,30,,,,
United Kingdom,17,21,,,,
United States,15,19,,,,
Uruguay,56,60,,,,
Uzbekistan,110,114,,,,
Vanuatu,136,141,,,,
Venezuela (Bolivarian Republic of),84,101,,,,
Viet Nam,113,115,,,,
Yemen,175,173,,,,
Zambia,148,147,,,,
Zimbabwe,158,152,,,,
